variant,variant_label,datasets,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,auc_mean,auc_std,log_loss_mean,log_loss_std,brier_mean,brier_std,ece_mean,ece_std,training_seconds_mean,training_seconds_std,inference_seconds_mean,inference_seconds_std,delta_accuracy_mean,delta_accuracy_std,delta_macro_f1_mean,delta_macro_f1_std,delta_auc_mean,delta_auc_std,delta_log_loss_mean,delta_log_loss_std,delta_brier_mean,delta_brier_std,delta_ece_mean,delta_ece_std,delta_training_seconds_mean,delta_training_seconds_std,delta_inference_seconds_mean,delta_inference_seconds_std
full,DBNC-Full,5,0.7828343907284194,0.18035238309348134,0.7622467209221133,0.20160739655519772,0.861510163783757,0.13075741138978514,0.4732861233482854,0.3627743639457739,0.2921313711183573,0.22935166618954467,0.10088704441545789,0.05818603673816191,1.6856207017507405,0.4827960721085527,0.0032712886855006213,0.0004745542392735343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_tan,DBNC-Fixed-TAN,5,0.7801378609187445,0.17500302226536654,0.7623341931897197,0.18918143621984745,0.8620125643017837,0.12482472421518996,0.47426242656427464,0.34291298131109826,0.29431926390529833,0.21394507581149294,0.0992241929923335,0.03322635072134911,2.047691141320392,0.7679311409635003,0.0031547980196774002,0.00039570918260458965,-0.0026965298096748524,0.018993932153292578,8.747226760652538e-05,0.020323238817370512,0.0005024005180268131,0.010447450650456812,0.000976303215989216,0.03715898423019583,0.0021878927869410343,0.02650360850403716,-0.0016628514231243827,0.02863113996201153,0.36207043956965207,0.4835605465872853,-0.0001164906658232212,0.00011067219558683503
conditional_only,DBNC-Conditional-Only,5,0.7816207105613924,0.18273231843549861,0.7602359873051968,0.2052816672255842,0.8634371802970836,0.12768476794385633,0.47174954106649797,0.3567977945596545,0.29050386566391684,0.22526931831329464,0.09776596672634866,0.06171083929256902,1.6958050940185785,0.6736894922657689,0.0032124718930572277,0.0004263491186092744,-0.0012136801670270092,0.0026752676432801434,-0.0020107336169164825,0.0039241098334745084,0.0019270165133265626,0.004618068180439295,-0.0015365822817874852,0.011418648794594737,-0.0016275054544404339,0.005673505346490872,-0.0031210776891092153,0.014628131569216081,0.010184392267838183,0.2575413831240362,-5.8816792443394664e-05,0.00035565808178609446
mlp_cpd,DBNC-MLP-CPD,5,0.781868318096587,0.1839506463349306,0.7667263513932904,0.19822202445663736,0.8681874467793407,0.12394795895295921,0.4821055444013944,0.3299260474412799,0.2844823075610702,0.21518837421168707,0.08720291528804668,0.051707874912880016,1.706784878689796,0.5223540227675648,0.004734458308666945,0.000981880311028525,-0.0009660726318323265,0.008064512565995234,0.004479630471177098,0.006757354329493302,0.006677282995583567,0.011960237046393617,0.008819421053109011,0.05879415952254887,-0.007649063557287098,0.029875754865598035,-0.013684129127411182,0.015289294761423556,0.021164176939055323,0.2119058072529174,0.0014631696231663226,0.0005355444251756506
no_regularization,DBNC-No-Regularization,5,0.7832153431093718,0.1808115282410223,0.7626711484918669,0.20210687860439955,0.8616577646700307,0.13054117219380357,0.47469180243892106,0.36086990365421867,0.29189081202820893,0.22959754594302775,0.10085465665946607,0.05819098157940939,1.6161749719362706,0.5188158943770987,0.0032646470982581376,0.00044184155544293226,0.00038095238095239294,0.0008518354199999467,0.00042442756975358265,0.0009490488974940444,0.00014760088627361335,0.0007932129926204516,0.0014056790906356892,0.0034480676098484716,-0.00024055909014834842,0.00044718871953790577,-3.2387755991816755e-05,4.797904692805623e-05,-0.06944572981446981,0.1286039208554166,-6.6415872424841794e-06,0.00041776848378831177
loss_w_000,DBNC-loss-w-000,5,0.7816207105613924,0.18273231843549861,0.7602359873051968,0.2052816672255842,0.8634371802970836,0.12768476794385633,0.47174954106649797,0.3567977945596545,0.29050386566391684,0.22526931831329464,0.09776596672634866,0.06171083929256902,1.6882863404043023,0.6421141372060144,0.0031902874168008564,0.000313785852729915,-0.0012136801670270092,0.0026752676432801434,-0.0020107336169164825,0.0039241098334745084,0.0019270165133265626,0.004618068180439295,-0.0015365822817874852,0.011418648794594737,-0.0016275054544404339,0.005673505346490872,-0.0031210776891092153,0.014628131569216081,0.0026656386535614195,0.2488283786594193,-8.10012686997652e-05,0.000258731042325197
loss_w_025,DBNC-loss-w-025,5,0.780994405353877,0.17384821077438198,0.7577594394133971,0.20063414761130494,0.8568823077340049,0.1259592008215466,0.4911976369886979,0.33186486704072965,0.30079636301506457,0.21135889483169917,0.09727626313038915,0.027984619206835322,1.4368452497012913,0.5306504739800246,0.0031829150766134262,0.0003622849940813455,-0.0018399853745423521,0.028462755593387297,-0.004487281508716245,0.03246401330756498,-0.00462785604975211,0.012690121587508199,0.01791151364041251,0.07539826335387505,0.008664991896707242,0.040352466743894935,-0.003610781285068734,0.038733475864439065,-0.2487754520494491,0.14175119391565927,-8.837360888719554e-05,0.00015031631763988182
loss_w_050,DBNC-loss-w-050,5,0.7791006169245916,0.17281840799088224,0.7586740819674007,0.1965706785336648,0.8581239291700591,0.12276186354242073,0.5081271034853063,0.32300495938903445,0.30925528799185953,0.20848870928232321,0.10858745387138717,0.022357076414617486,1.3721052280440926,0.5051643506106263,0.003395510232076049,0.000713692813169125,-0.003733773803827711,0.029483642025329507,-0.0035726389547125147,0.03429955900720754,-0.003386234613697914,0.012577760364536686,0.03484098013702087,0.07601623202288495,0.017123916873502208,0.04090232123410899,0.007700409455929308,0.04982380438023422,-0.3135154737066478,0.06402647317969767,0.000124221546575427,0.00024321952642544645
loss_w_075,DBNC-loss-w-075,5,0.7739936204562929,0.17565228033510383,0.7504077221961084,0.20597734442532864,0.8547126076803266,0.12236163288550286,0.5272774733662383,0.3158223423717942,0.3183136068852171,0.20739429040087767,0.11420951594968905,0.0323164640915234,1.393590107169002,0.5004155723985918,0.003196462215855718,0.000431948436009333,-0.008840770272126352,0.03202383193387741,-0.011838998726004912,0.04315488556180462,-0.006797556103430402,0.013503170607206696,0.053991350017952945,0.08502431231211806,0.026182235766859758,0.03989390905496824,0.013322471534231179,0.05415317884749003,-0.2920305945817381,0.08351872332829513,-7.482646964490411e-05,0.0002920975698524966
loss_w_100,DBNC-loss-w-100,5,0.7653316436362989,0.17606816841696843,0.7456550785159965,0.19732004662743446,0.8543953921443602,0.12319229013771275,0.5344185402014752,0.3092795709305339,0.322872316775942,0.20676668771810452,0.12739202372525468,0.03485873040925826,1.4448136871308088,0.6407243454006549,0.0032911579310894016,0.0005897463264006291,-0.017502747092120297,0.02249646766603143,-0.01659164240611676,0.02645156072100736,-0.0071147716393967775,0.014032698676412532,0.06113241685318975,0.08832000387658025,0.03074094565758474,0.04010181642288995,0.026504979309796794,0.05890317299727818,-0.24080701461993154,0.25381877355036475,1.9869245588779397e-05,0.0004717461306224758
