dataset_id,dataset_alias,variant,variant_label,accuracy,macro_f1,auc,log_loss,brier,ece,training_seconds,inference_seconds
15,breast-w,conditional_only,DBNC-Conditional-Only,0.9580952380952381,0.9533710510587727,0.9900161030595813,0.11052200157378234,0.06541384059078041,0.04195173286777976,1.2169190416112543,0.0030086912214756013
15,breast-w,fixed_tan,DBNC-Fixed-TAN,0.96,0.9557365107426478,0.9876811594202899,0.15885201358756626,0.07646573246334631,0.0828737548892921,1.3079790365416557,0.0028740833979099987
15,breast-w,full,DBNC-Full,0.9561904761904761,0.9514402172404399,0.9896135265700483,0.11102424053678397,0.06392184761832267,0.04466871514565382,1.124759340006858,0.0030600044410675764
15,breast-w,loss_w_000,DBNC-loss-w-000,0.9580952380952381,0.9533710510587727,0.9900161030595813,0.11052200157378234,0.06541384059078041,0.04195173286777976,1.2749866825528442,0.00293292086571455
15,breast-w,loss_w_025,DBNC-loss-w-025,0.9485714285714286,0.9418751969253989,0.98743961352657,0.15230262819883528,0.08351368326233075,0.07266330966279647,1.0236160976346582,0.002958575077354908
15,breast-w,loss_w_050,DBNC-loss-w-050,0.9447619047619048,0.9376596948382543,0.9838164251207729,0.20535916925327444,0.10435007799838485,0.10606810753076286,0.8535967970266938,0.003077108971774578
15,breast-w,loss_w_075,DBNC-loss-w-075,0.9428571428571428,0.9354257254731462,0.9855072463768118,0.2211801325437804,0.11014202365875747,0.12218738420907767,0.8350882638245821,0.0028198696207255127
15,breast-w,loss_w_100,DBNC-loss-w-100,0.9466666666666667,0.9401231763698513,0.9876811594202899,0.2393915215976385,0.11668971483218946,0.1496622346590503,0.8329595306422561,0.002910433802753687
15,breast-w,mlp_cpd,DBNC-MLP-CPD,0.9561904761904761,0.9516070499367155,0.9888888888888889,0.15482706873616575,0.06823579638024675,0.04070047575770721,1.2961413602810352,0.004024743568152189
15,breast-w,no_regularization,DBNC-No-Regularization,0.9580952380952381,0.9535623550892078,0.9888888888888889,0.11858095945524912,0.0628935152360796,0.044561492925679125,1.0757517262361944,0.0037135121412575243
23,cmc,conditional_only,DBNC-Conditional-Only,0.5185520361990951,0.460340253762614,0.6992868235592984,0.9830675542399808,0.5925815712898005,0.0787473640618911,2.816352445771918,0.003245634213089943
23,cmc,fixed_tan,DBNC-Fixed-TAN,0.518552036199095,0.4815254102314205,0.6945864368119616,1.0035506208113356,0.604146527243669,0.10268048464971713,2.7805278887972236,0.0031712969299405812
23,cmc,full,DBNC-Full,0.5230769230769231,0.4681027502008853,0.6891437483765076,1.002584508345551,0.6042303876230051,0.10536825001312056,2.4280255888588727,0.0032407529652118683
23,cmc,loss_w_000,DBNC-loss-w-000,0.5185520361990951,0.460340253762614,0.6992868235592984,0.9830675542399808,0.5925815712898005,0.0787473640618911,2.764633406419307,0.003414571424946189
23,cmc,loss_w_025,DBNC-loss-w-025,0.5095022624434389,0.4402156262533957,0.6815115830818398,1.0120594161356986,0.6102450570664838,0.09149735506395794,2.3315438205376267,0.003303114604204893
23,cmc,loss_w_050,DBNC-loss-w-050,0.5085972850678733,0.44484542790261106,0.6880629029584521,1.0190524375301933,0.614349180912812,0.10530520560427022,2.194060782622546,0.0032889942638576032
23,cmc,loss_w_075,DBNC-loss-w-075,0.49502262443438916,0.4140618116463032,0.6886527774595587,1.028809364116078,0.6208110043944217,0.10104442339331043,2.1345306833740323,0.003515930427238345
23,cmc,loss_w_100,DBNC-loss-w-100,0.497737556561086,0.43912785221774725,0.6870308213774645,1.0242717921439115,0.6185449122006795,0.10020925602090558,2.494553016172722,0.0032973896246403455
23,cmc,mlp_cpd,DBNC-MLP-CPD,0.5095022624434389,0.47187883952454135,0.6965713847699839,0.9662067837161292,0.5821049841562378,0.08587228953074853,2.5841774753294886,0.00473563838750124
23,cmc,no_regularization,DBNC-No-Regularization,0.5230769230769231,0.4681027502008853,0.6891571151267163,1.0025866833259398,0.6042317045848267,0.10536799172168068,2.3449096636381,0.0032217068132013083
37,diabetes,conditional_only,DBNC-Conditional-Only,0.7189655172413794,0.68444567654574,0.7882276422764228,0.5899028797437976,0.39312168016488674,0.14256863668674763,1.5890226341318339,0.0026320964097976685
37,diabetes,fixed_tan,DBNC-Fixed-TAN,0.7448275862068966,0.7086800783043522,0.8052032520325204,0.5336828485996908,0.3570628207442989,0.10510591899492687,2.867618339136243,0.002757603395730257
37,diabetes,full,DBNC-Full,0.7224137931034483,0.6886676820103839,0.7891382113821138,0.5775665980841633,0.39110238407634207,0.1288361569031902,1.7154566031880676,0.002702560368925333
