dataset_id,dataset_alias,seed,variant,variant_label,acyclic,edge_mass,incoming_edge_mass,parent_limit_violation_rate,threshold,thresholded_edge_density
56,vote,3,fixed_tan,DBNC-Fixed-TAN,True,15.0,"[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,0.05,0.0625
56,vote,4,fixed_tan,DBNC-Fixed-TAN,True,15.0,"[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,0.05,0.0625
56,vote,1,fixed_tan,DBNC-Fixed-TAN,True,15.0,"[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,0.05,0.0625
56,vote,2,fixed_tan,DBNC-Fixed-TAN,True,15.0,"[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,0.05,0.0625
56,vote,0,fixed_tan,DBNC-Fixed-TAN,True,15.0,"[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,0.05,0.0625
15,breast-w,3,fixed_tan,DBNC-Fixed-TAN,True,8.0,"[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,0.05,0.1111111111111111
15,breast-w,4,fixed_tan,DBNC-Fixed-TAN,True,8.0,"[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,0.05,0.1111111111111111
15,breast-w,1,fixed_tan,DBNC-Fixed-TAN,True,8.0,"[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,0.05,0.1111111111111111
15,breast-w,2,fixed_tan,DBNC-Fixed-TAN,True,8.0,"[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,0.05,0.1111111111111111
15,breast-w,0,fixed_tan,DBNC-Fixed-TAN,True,8.0,"[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,0.05,0.1111111111111111
23,cmc,3,fixed_tan,DBNC-Fixed-TAN,True,8.0,"[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,0.05,0.1111111111111111
23,cmc,4,fixed_tan,DBNC-Fixed-TAN,True,8.0,"[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,0.05,0.1111111111111111
23,cmc,1,fixed_tan,DBNC-Fixed-TAN,True,8.0,"[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,0.05,0.1111111111111111
23,cmc,2,fixed_tan,DBNC-Fixed-TAN,True,8.0,"[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,0.05,0.1111111111111111
23,cmc,0,fixed_tan,DBNC-Fixed-TAN,True,8.0,"[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,0.05,0.1111111111111111
37,diabetes,3,fixed_tan,DBNC-Fixed-TAN,True,7.0,"[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,0.05,0.125
37,diabetes,4,fixed_tan,DBNC-Fixed-TAN,True,7.0,"[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,0.05,0.125
37,diabetes,1,fixed_tan,DBNC-Fixed-TAN,True,7.0,"[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,0.05,0.125
37,diabetes,2,fixed_tan,DBNC-Fixed-TAN,True,7.0,"[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,0.05,0.125
37,diabetes,0,fixed_tan,DBNC-Fixed-TAN,True,7.0,"[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,0.05,0.125
53,heart-statlog,3,fixed_tan,DBNC-Fixed-TAN,True,12.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0]",0.0,0.05,0.07692307692307693
53,heart-statlog,4,fixed_tan,DBNC-Fixed-TAN,True,12.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]",0.0,0.05,0.07692307692307693
53,heart-statlog,1,fixed_tan,DBNC-Fixed-TAN,True,12.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0]",0.0,0.05,0.07692307692307693
53,heart-statlog,2,fixed_tan,DBNC-Fixed-TAN,True,12.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0]",0.0,0.05,0.07692307692307693
53,heart-statlog,0,fixed_tan,DBNC-Fixed-TAN,True,12.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0]",0.0,0.05,0.07692307692307693
56,vote,3,mlp_cpd,DBNC-MLP-CPD,True,14.379182815551758,"[0.2445295751094818, 0.06972005218267441, 1.0051496028900146, 0.22507315874099731, 1.030329704284668, 1.1198347806930542, 0.4563520550727844, 2.010618209838867, 1.0582618713378906, 1.8173247575759888, 0.0, 0.5913031101226807, 0.9596157073974609, 0.8923419117927551, 1.25654137134552, 1.6421868801116943]",0.1875,0.05,0.4166666666666667
56,vote,4,mlp_cpd,DBNC-MLP-CPD,True,14.197420120239258,"[0.44898858666419983, 2.031717300415039, 0.6822268962860107, 1.2206742763519287, 2.294745445251465, 0.49376195669174194, 0.161599799990654, 1.429544448852539, 0.29724574089050293, 0.6197771430015564, 1.0296869277954102, 0.7071623802185059, 1.1090470552444458, 1.5685126781463623, 0.0, 0.10272874683141708]",0.4375,0.05,0.45416666666666666
