dataset_id,seed,variant,acyclic,edge_mass,incoming_edge_mass,parent_limit_violation_rate,threshold,thresholded_edge_density
46929,3,full,True,7.946816444396973,"[1.4896796941757202, 0.4410271942615509, 0.3175225257873535, 1.4763879776000977, 0.0, 0.6876550316810608, 1.6751116514205933, 0.1734379380941391, 0.96568363904953, 0.7203108072280884]",0.5,0.05,0.43333333333333335
46929,4,full,True,8.077152252197266,"[0.4082948565483093, 2.156830310821533, 0.13591958582401276, 1.4406262636184692, 1.8899928331375122, 0.0, 0.6935251355171204, 0.4432116448879242, 0.5254915952682495, 0.3832598626613617]",0.5,0.05,0.4444444444444444
46929,1,full,True,9.880009651184082,"[0.1845465451478958, 2.0435237884521484, 0.9789276123046875, 0.0, 0.5770950317382812, 2.9838643074035645, 0.8432741761207581, 0.8901936411857605, 0.5895363092422485, 0.7890481948852539]",0.6,0.05,0.4444444444444444
46929,2,full,True,8.112537384033203,"[0.10886382311582565, 2.2868738174438477, 0.6569275856018066, 0.9543004035949707, 0.18765318393707275, 1.5928328037261963, 0.9225744009017944, 0.5366060137748718, 0.0, 0.8659051060676575]",0.6,0.05,0.43333333333333335
46929,0,full,True,8.936695098876953,"[1.0112491846084595, 1.3428611755371094, 0.0, 0.6183605790138245, 0.6648691892623901, 0.05597233027219772, 1.0285214185714722, 2.385733127593994, 1.6122959852218628, 0.21683192253112793]",0.6,0.05,0.4666666666666667
182,3,full,True,119.37362670898438,"[3.438601016998291, 4.331832408905029, 5.155788898468018, 3.075923204421997, 1.262272596359253, 1.2104047536849976, 5.84632682800293, 5.761595249176025, 2.786379337310791, 1.9458481073379517, 4.174343585968018, 0.07229382544755936, 0.48533177375793457, 5.792253017425537, 5.924716949462891, 1.6975367069244385, 4.4758501052856445, 2.081127166748047, 0.19007608294487, 5.013975620269775, 5.816956043243408, 0.0, 1.311848759651184, 7.1896467208862305, 5.614550590515137, 5.6077046394348145, 1.09495210647583, 0.38007086515426636, 1.1936242580413818, 2.0842864513397217, 2.1543095111846924, 5.733541488647461, 5.46717643737793, 0.6912829875946045, 4.54256010055542, 5.76863956451416]",0.8333333333333334,0.05,0.43492063492063493
182,4,full,True,115.25641632080078,"[1.5371249914169312, 4.647392272949219, 3.2160043716430664, 0.1052272692322731, 2.727693557739258, 6.313579082489014, 0.6666721701622009, 3.7152135372161865, 3.8037495613098145, 5.772229194641113, 5.919418811798096, 1.8806571960449219, 3.826047420501709, 0.0, 3.763045072555542, 1.3728766441345215, 1.8585541248321533, 2.192362070083618, 0.18452268838882446, 0.6767680048942566, 3.90640926361084, 6.30955696105957, 5.945075035095215, 3.596641778945923, 3.148172616958618, 3.803072929382324, 2.3536360263824463, 1.3405234813690186, 6.345639705657959, 3.531566619873047, 2.9463491439819336, 0.5302658677101135, 0.855959415435791, 6.09710693359375, 5.926673412322998, 4.440634727478027]",0.8055555555555556,0.05,0.42936507936507934
182,1,full,True,124.41423797607422,"[2.0856189727783203, 9.331127166748047, 0.9921890497207642, 7.114080905914307, 1.1911205053329468, 6.2686567306518555, 8.565296173095703, 0.5016028881072998, 5.426239013671875, 6.766580104827881, 1.3320459127426147, 1.0945019721984863, 1.5449433326721191, 4.926351070404053, 0.9120917320251465, 0.0, 1.8772083520889282, 1.0378624200820923, 0.9686900973320007, 0.5652684569358826, 0.1632993370294571, 0.6155514717102051, 1.2273929119110107, 6.720616817474365, 1.274655818939209, 0.9531943798065186, 5.46594762802124, 5.016092777252197, 4.954080104827881, 6.807140350341797, 0.9181304574012756, 6.98860502243042, 3.8862380981445312, 0.48318904638290405, 9.802099227905273, 6.636531352996826]",0.8333333333333334,0.05,0.4166666666666667
182,2,full,True,115.1063232421875,"[2.2620906829833984, 6.7606658935546875, 0.4972575008869171, 5.959225177764893, 5.2711591720581055, 3.124046564102173, 6.302174091339111, 0.9699521660804749, 6.635068416595459, 5.444522380828857, 1.4523684978485107, 7.632651329040527, 2.197805881500244, 6.141199588775635, 0.0, 3.1153273582458496, 3.4970688819885254, 1.2067480087280273, 2.0566678047180176, 1.630082607269287, 6.475685119628906, 0.4803343415260315, 6.014256000518799, 3.239790439605713, 3.203868865966797, 5.976444721221924, 1.6592153310775757, 0.43890470266342163, 3.3857126235961914, 0.21952739357948303, 1.5921424627304077, 3.1486423015594482, 3.3289084434509277, 1.9089813232421875, 0.0639684647321701, 1.8138569593429565]",0.8333333333333334,0.05,0.4388888888888889
182,0,full,True,123.4313735961914,"[3.517338752746582, 3.476591110229492, 6.010763645172119, 2.0781610012054443, 1.843427062034607, 0.5942487120628357, 0.7827572226524353, 3.56489634513855, 0.05880453810095787, 3.157548666000366, 3.4316537380218506, 3.3671398162841797, 4.274378776550293, 2.720228910446167, 6.434542655944824, 2.60555362701416, 6.5358099937438965, 6.644237518310547, 6.439855098724365, 3.626596212387085, 6.346714496612549, 6.483941078186035, 0.34481364488601685, 1.164659857749939, 5.7899556159973145, 6.150506973266602, 0.611907958984375, 4.364799976348877, 0.7042665481567383, 6.813802719116211, 1.0330686569213867, 1.0474951267242432, 5.039580345153809, 2.8073794841766357, 0.0, 3.5639407634735107]",0.8055555555555556,0.05,0.43492063492063493
