dataset_id,dataset_alias,n_rows,n_predictors,n_classes,n_categorical,n_numeric,categorical_ratio,missing_total,missing_ratio,majority_class_ratio,dbnc_accuracy,dbnc_accuracy_rank,dbnc_log_loss,dbnc_log_loss_rank,best_classical_method,best_classical_accuracy,dbnc_delta_vs_best_classical,best_modern_method,best_modern_accuracy,dbnc_delta_vs_best_modern,best_non_dbnc_method,best_non_dbnc_accuracy,dbnc_delta_vs_best_non_dbnc
3,kr-vs-kp,3196,36,2,36,0,1.0,0,0.0,0.522215269086358,0.9845833333333334,5.0,0.0495922273697448,5.0,BAN,0.95875,0.025833333333333375,CatBoost,0.9941666666666666,-0.009583333333333277,CatBoost,0.9941666666666666,-0.009583333333333277
6,letter,20000,16,26,0,16,0.0,0,0.0,0.04065,0.9170666666666666,5.0,0.2701108593321936,5.0,KDB-3,0.8827999999999999,0.03426666666666667,LightGBM,0.9698666666666668,-0.05280000000000018,LightGBM,0.9698666666666668,-0.05280000000000018
15,breast-w,699,9,2,0,9,0.0,16,0.002543315848036878,0.6552217453505007,0.9657142857142856,6.0,0.1116296095930455,4.0,TAN,0.9695238095238096,-0.003809523809523929,CatBoost,0.9733333333333332,-0.007619047619047525,CatBoost,0.9733333333333332,-0.007619047619047525
23,cmc,1473,9,3,7,2,0.7777777777777778,0,0.0,0.4270196877121521,0.502262443438914,12.0,1.0070330154745426,8.0,BAN,0.5212669683257919,-0.01900452488687787,XGBoost,0.542081447963801,-0.03981900452488696,XGBoost,0.542081447963801,-0.03981900452488696
24,mushroom,8124,22,2,22,0,1.0,2480,0.013875833669038986,0.517971442639094,0.9993437243642328,9.0,0.0022858810669895,9.0,TAN,1.0,-0.0006562756357672006,XGBoost,1.0,-0.0006562756357672006,TAN,1.0,-0.0006562756357672006
28,optdigits,5620,64,10,0,64,0.0,0,0.0,0.10177935943060498,0.9565836298932384,6.0,0.1883116588298742,5.0,KDB-1,0.9568208778173192,-0.00023724792408075235,LightGBM,0.9833926453143536,-0.026809015421115134,LightGBM,0.9833926453143536,-0.026809015421115134
29,credit-approval,690,15,2,9,6,0.6,67,0.006473429951690821,0.5550724637681159,0.8653846153846153,10.0,0.3580738098017452,7.0,Chow-Liu,0.8903846153846153,-0.025000000000000022,CatBoost,0.8826923076923077,-0.017307692307692357,Chow-Liu,0.8903846153846153,-0.025000000000000022
36,segment,2310,19,7,0,19,0.0,0,0.0,0.14285714285714285,0.9487031700288184,9.0,0.1604028016343522,7.0,KDB-1,0.9590778097982708,-0.01037463976945241,LightGBM,0.9844380403458214,-0.035734870317002954,LightGBM,0.9844380403458214,-0.035734870317002954
37,diabetes,768,8,2,0,8,0.0,0,0.0,0.6510416666666666,0.7224137931034483,12.0,0.5775665980841633,11.0,TAN,0.7775862068965517,-0.055172413793103336,XGBoost,0.7810344827586206,-0.05862068965517231,XGBoost,0.7810344827586206,-0.05862068965517231
44,spambase,4601,57,2,0,57,0.0,0,0.0,0.6059552271245382,0.932561505065123,5.0,0.1942483523775053,5.0,TAN,0.9178002894356004,0.014761215629522595,CatBoost,0.9583212735166424,-0.025759768451519394,CatBoost,0.9583212735166424,-0.025759768451519394
50,tic-tac-toe,958,9,2,9,0,1.0,0,0.0,0.6534446764091858,0.9430555555555556,5.0,0.1492598679706142,5.0,KDB-3,0.8236111111111111,0.11944444444444458,CatBoost,1.0,-0.05694444444444435,CatBoost,1.0,-0.05694444444444435
53,heart-statlog,270,13,2,0,13,0.0,0,0.0,0.5555555555555556,0.8390243902439025,1.0,0.4231621083829474,3.0,TAN,0.7804878048780488,0.05853658536585371,LightGBM,0.8341463414634147,0.004878048780487809,LightGBM,0.8341463414634147,0.004878048780487809
54,vehicle,846,18,4,0,18,0.0,0,0.0,0.2576832151300236,0.7133858267716535,9.0,0.655368256474956,5.0,TAN,0.7448818897637796,-0.03149606299212604,XGBoost,0.7842519685039371,-0.07086614173228356,XGBoost,0.7842519685039371,-0.07086614173228356
56,vote,435,16,2,16,0,1.0,392,0.05632183908045977,0.6137931034482759,0.9515151515151516,2.0,0.154120637674679,5.0,Chow-Liu,0.9606060606060606,-0.009090909090908927,LightGBM,0.9484848484848484,0.003030303030303272,Chow-Liu,0.9606060606060606,-0.009090909090908927
151,electricity,45312,8,2,1,7,0.125,0,0.0,0.5754546257062146,0.8457260556127704,5.0,0.3446088532850814,5.0,KDB-3,0.8019714579961749,0.0437545976165955,LightGBM,0.9370016183610416,-0.0912755627482712,LightGBM,0.9370016183610416,-0.0912755627482712
182,satimage,6430,36,6,0,36,0.0,0,0.0,0.23810264385692068,0.8758549222797928,8.0,0.3674429064466269,4.0,BAN,0.8804145077720207,-0.004559585492227902,LightGBM,0.9231088082901554,-0.04725388601036262,LightGBM,0.9231088082901554,-0.04725388601036262
293,covertype-binary,581012,54,2,0,54,0.0,53,1.6892619799272329e-06,0.5124007765760432,0.8461308977418763,5.0,0.3479460178696127,5.0,KDB-3,0.8003098035615934,0.045821094180282906,FT-Transformer,0.9568592803378008,-0.11072838259592443,FT-Transformer,0.9568592803378008,-0.11072838259592443
1120,MagicTelescope,19020,10,2,0,10,0.0,0,0.0,0.6483701366982124,0.8520154223624254,5.0,0.3540642651614421,5.0,TAN,0.8508236943568173,0.0011917280056081836,CatBoost,0.8874868559411146,-0.035471433578689204,CatBoost,0.8874868559411146,-0.035471433578689204
1461,bank-marketing,45211,16,2,9,7,0.5625,0,0.0,0.8830151954170445,0.902211736950752,5.0,0.2149027100786013,5.0,TAN,0.9001474491300501,0.0020642878207018933,LightGBM,0.9091713358891182,-0.006959598938366285,LightGBM,0.9091713358891182,-0.006959598938366285
1486,nomao,34465,118,2,29,89,0.2457627118644068,0,0.0,0.7143769041056144,0.96642166344294,4.0,0.1040240848912202,4.0,KDB-3,0.9492069632495164,0.017214700193423638,LightGBM,0.9723791102514509,-0.005957446808510847,LightGBM,0.9723791102514509,-0.005957446808510847
1489,phoneme,5404,5,2,0,5,0.0,0,0.0,0.7065136935603257,0.8621454993834771,5.0,0.3166563966362327,4.0,KDB-3,0.857213316892725,0.004932182490752113,CatBoost,0.9136868064118372,-0.05154130702836013,CatBoost,0.9136868064118372,-0.05154130702836013
1510,wdbc,569,30,2,0,30,0.0,0,0.0,0.6274165202108963,0.9093023255813952,9.0,0.2757200961147716,6.0,TAN,0.9209302325581395,-0.011627906976744318,FT-Transformer,0.9534883720930232,-0.04418604651162794,FT-Transformer,0.9534883720930232,-0.04418604651162794
1567,poker-hand,1025009,10,10,0,10,0.0,0,0.0,0.5011673068236474,0.9254266611166034,4.0,0.1653510244368105,3.0,KDB-3,0.6880808054529373,0.23734585566366617,FT-Transformer,0.9979824652687443,-0.07255580415214091,FT-Transformer,0.9979824652687443,-0.07255580415214091
1590,adult,48842,14,2,8,6,0.5714285714285714,6465,0.009454684785342825,0.7607182343065395,0.8540466766753105,5.0,0.3100705423184862,5.0,BAN,0.8334106728538282,0.02063600382148234,XGBoost,0.8716527910468133,-0.017606114371502724,XGBoost,0.8716527910468133,-0.017606114371502724
4534,PhishingWebsites,11055,30,2,30,0,1.0,0,0.0,0.5569425599276345,0.9574442435201928,5.0,0.0949390682607254,4.0,KDB-3,0.9467148884870404,0.01072935503315231,LightGBM,0.9708257986739,-0.013381555153707203,LightGBM,0.9708257986739,-0.013381555153707203
40975,car,1728,6,4,6,0,1.0,0,0.0,0.7002314814814815,0.953076923076923,5.0,0.1269444481359512,5.0,BAN,0.9484615384615384,0.004615384615384688,FT-Transformer,0.9969230769230768,-0.04384615384615376,FT-Transformer,0.9969230769230768,-0.04384615384615376
41150,MiniBooNE,130064,50,2,0,50,0.0,0,0.0,0.7193766145897404,0.9368631471040492,5.0,0.174203516539009,5.0,KDB-3,0.9093593029215788,0.027503844182470316,XGBoost,0.9467862634546386,-0.0099231163505894,XGBoost,0.9467862634546386,-0.0099231163505894
41168,jannis,83733,54,4,0,54,0.0,0,0.0,0.4600575639234233,0.6879458598726115,5.0,0.7512059886400072,5.0,BAN,0.6588694267515923,0.029076433121019152,XGBoost,0.7248248407643312,-0.036878980891719704,XGBoost,0.7248248407643312,-0.036878980891719704
42477,default-of-credit-card-clients,30000,23,2,0,23,0.0,0,0.0,0.7788,0.8144444444444444,5.0,0.4509961957648257,5.0,BAN,0.8037333333333333,0.010711111111111116,CatBoost,0.8201777777777778,-0.005733333333333368,CatBoost,0.8201777777777778,-0.005733333333333368
46929,GiveMeSomeCredit,150000,10,2,0,10,0.0,33655,0.022436666666666667,0.93316,0.9355466666666666,5.0,0.1818662062343709,5.0,Chow-Liu,0.9331555555555556,0.0023911111111110106,LightGBM,0.9376711111111112,-0.0021244444444445953,LightGBM,0.9376711111111112,-0.0021244444444445953
