method_label,datasets,mean_rank_accuracy,mean_rank_macro_f1,mean_rank_auc,mean_rank_log_loss,mean_rank_brier,mean_rank_ece,mean_rank_training_seconds,mean_rank_inference_seconds,median_accuracy,mean_accuracy,win_count_accuracy,median_macro_f1,mean_macro_f1,win_count_macro_f1,median_auc,mean_auc,win_count_auc,median_log_loss,mean_log_loss,win_count_log_loss,median_brier,mean_brier,win_count_brier,median_ece,mean_ece,win_count_ece,geomean_training_seconds,median_training_seconds,geomean_inference_seconds,median_inference_seconds,median_seed_std_accuracy,mean_seed_std_accuracy,median_seed_std_log_loss,mean_seed_std_log_loss,median_seed_std_ece,mean_seed_std_ece
LightGBM,30,2.533333333333333,2.5833333333333335,2.1,3.6333333333333333,2.533333333333333,4.766666666666667,7.733333333333333,6.166666666666667,0.9388454233727026,0.9022727331702877,11,0.934504897628837,0.850142762847063,11,0.9861631365026227,0.9414176241067664,14,0.17786309657053284,0.2775965402150824,4,0.09589605058095255,0.14155073565618484,10,0.017571884324661897,0.04043368484238266,4,0.7142839732624876,0.5670353918336333,0.05930160362482507,0.0462578603997826,0.004567918719478731,0.011325292768207635,0.013423802032825746,0.04124919404216083,0.004122814043684,0.008576277538883488
XGBoost,30,2.7666666666666666,2.8666666666666667,2.65,2.8666666666666667,2.7333333333333334,4.433333333333334,8.1,3.566666666666667,0.9414606060606061,0.9053597081170474,7,0.9311065517830466,0.8570657179865722,6,0.9850357148001361,0.9467411741221672,7,0.1702882107764488,0.24510582830811645,9,0.08735332721572416,0.13417621215909467,7,0.019204113303355398,0.036410674125481844,5,0.8348119526369382,0.8059515279252083,0.023999396253593257,0.019718496594578,0.0044580564395660695,0.014113931818778822,0.012550883431401438,0.05924325354986893,0.004609827812893159,0.008935840254114676
CatBoost,30,2.9166666666666665,2.75,2.783333333333333,3.0,2.933333333333333,4.466666666666667,10.066666666666666,1.4333333333333333,0.9384696640826874,0.9047368263586859,8,0.9135370654640944,0.859645967589415,7,0.9853223858524306,0.9487561383990147,9,0.16581680957683997,0.24073084339907302,9,0.08994837177911821,0.13489635726336424,6,0.01831525495458395,0.03664222128070661,4,5.521161027737999,5.083630850608461,0.005522303736501916,0.00458027173299335,0.004638128372145119,0.010909080970001818,0.008237341396949222,0.027432755934639157,0.003546964839806898,0.0074271543912956045
FT-Transformer,30,3.933333333333333,3.8666666666666667,3.6333333333333333,3.2,3.5,3.3666666666666667,11.266666666666667,2.7666666666666666,0.9416561324075152,0.8986920158048314,4,0.9049773534171606,0.8541000730472579,6,0.9812693361619376,0.9450287929683118,4,0.1639719601829407,0.23496202227740154,6,0.08977474059627055,0.13892558562398644,5,0.01532319435715335,0.02743879224804424,4,19.883212203702282,13.052453954098747,0.015398521871957489,0.012687965203076551,0.007133999216130294,0.013324901163528077,0.016981625885087486,0.02590529066117717,0.004303597347769852,0.0075794542810691205
DBNC,30,6.033333333333333,6.2,5.883333333333334,5.3,5.566666666666666,5.466666666666667,11.333333333333334,2.9,0.913184496124031,0.8788733745637057,1,0.8566857198828002,0.8260255232071871,1,0.9745928031780201,0.9345707260419847,0,0.24250678470539744,0.296070266829371,0,0.1267121808745642,0.17149949993017458,1,0.02607049844885145,0.04059697346986184,0,20.2064266572415,19.578609358263204,0.018685351095095618,0.013481235899962401,0.007807830621503536,0.01499988224445783,0.01798388577568596,0.028066071259307438,0.006538159227981441,0.012208695063870824
BAN,30,7.233333333333333,7.683333333333334,7.3,7.333333333333333,7.433333333333334,7.633333333333334,4.633333333333334,10.433333333333334,0.8817794871794872,0.8525647524867906,1,0.8423183574208432,0.791188790443805,1,0.9230300748356671,0.9170861417080702,1,0.3839951261502864,0.40997775134372977,1,0.18479153364087786,0.21350510451379112,1,0.054465815119322,0.06060605294210244,1,0.10184614338898253,0.134657413768582,0.1672825722345358,0.21168617527000605,0.006875455378941767,0.015589370146034783,0.016557890835266372,0.037282402842043025,0.006682428881271359,0.010871874648884358
KDB-2,30,7.233333333333333,7.683333333333334,7.3,7.333333333333333,7.433333333333334,7.633333333333334,4.533333333333333,10.033333333333333,0.8817794871794872,0.8525647524867906,1,0.8423183574208432,0.791188790443805,1,0.9230300748356671,0.9170861417080702,1,0.3839951261502864,0.40997775134372977,1,0.18479153364087786,0.21350510451379112,1,0.054465815119322,0.06060605294210244,1,0.10152782329409756,0.1350896719610318,0.16643178514357707,0.21071628113277252,0.006875455378941767,0.015589370146034783,0.016557890835266372,0.037282402842043025,0.006682428881271359,0.010871874648884358
KDB-3,30,7.733333333333333,8.4,8.383333333333333,8.2,8.0,8.7,6.066666666666666,11.7,0.8827461538461538,0.8515836987902947,1,0.8211167276145312,0.7859227650046346,1,0.9208979576822525,0.915466739706695,1,0.3953741865560223,0.44183683860040385,1,0.18313668905580344,0.21927974114933466,1,0.05572874037364835,0.07182753132217583,2,0.11601548960702693,0.1523720498429611,0.17316214957396023,0.21919278237037354,0.005981665804181517,0.015034470543288558,0.019971614580138145,0.0422569903475849,0.004912550139979077,0.009500521753791097
TAN,30,7.866666666666666,7.433333333333334,8.016666666666667,8.333333333333334,8.133333333333333,8.366666666666667,2.966666666666667,8.366666666666667,0.8675278995615783,0.8447876874810057,1,0.8390702306455,0.7904633202451543,1,0.9172639823234991,0.9095773562060575,1,0.37964705990978476,0.4380319286796805,2,0.21940146775381655,0.22776999149479016,2,0.0550128000038881,0.06468741408037007,1,0.0890789127964013,0.11881679571233686,0.16047602045348808,0.20737716900184744,0.00829346779776472,0.014319434282993676,0.023767383117453425,0.04265488111899658,0.007622272978411093,0.011451339062449153
KDB-1,30,8.566666666666666,8.266666666666667,8.433333333333334,8.166666666666666,8.4,7.933333333333334,2.2666666666666666,8.166666666666666,0.8667686329214827,0.8434459349526542,0,0.8283565969802432,0.7880758987724614,0,0.9210234689944602,0.9100640209433976,0,0.374598255281873,0.42555872330094763,0,0.21665919847156245,0.2262016530457883,0,0.0538174955939443,0.061392191953373164,0,0.08718237350556489,0.1179127632407471,0.1598218207952217,0.20346704705152655,0.008594960605397526,0.015953147477604457,0.019005028646366183,0.047012901104395606,0.007777091741696147,0.012073999584355179
